nr,titel,artiest,jaar
491,Terug naar de kust,Maggie MacNeal,1976
492,Is she really going out with him,Joe Jackson,1979
493,Circle of life,Elton John,1994
494,Lady Jane,Rolling Stones,1966
495,Smalltown boy,Bronski Beat,1984
496,The way it is,Bruce Hornsby & the Range,1986
497,Torn,Natalie Imbruglia,1997
498,Het is een nacht,Guus Meeuwis & Vagant,1995
499,Mrs. Robinson,Simon & Garfunkel,1968
500,Waiting for the sun,Doors,1971
501,La Isla Bonita,Madonna,1987
502,A hard day's night,Beatles,1964
503,Easy lover,Phil Collins & Philip Bailey,1985
504,Ramona,Blue Diamonds,1960
505,I heard it through the grapevine,Creedence Clearwater Revival,1973
506,Fool to cry,Rolling Stones,1976
507,Crazy,Seal,1991
508,Ben ik te min,Armand,1967
509,You're the voice,John Farnham,1987
510,Helpless,Neil Young,1972
511,Shout,Tears for Fears,1985
512,Come on Eileen,Dexy's Midnight Runners,1982
513,This is the moment,René Froger,1992
514,Ziggy Stardust,David Bowie,1972
515,Calypso,John Denver,1975
516,El condor pasa,Simon & Garfunkel,1970
517,Quit playing games,Backstreet boys,1996
518,Laat me alleen,Rita Hovink,1977
519,We don't talk anymore,Cliff Richard,1979
520,The last time,Rolling Stones,1965
521,Beast of burden,Bette Midler,1984
522,Could you be loved,Bob Marley & the Wailers,1980
523,The power of love,Celine Dion,1998
524,Ik voel me zo verdomd alleen,Danny de Munk,1984
525,Whatever you want,Status Quo,1979
526,Nathalie,Gilbert Becaud,1964
527,She loves you,Beatles,1963
528,Beautiful people,Melanie,1969
529,De glimlach van een kind,Willy Alberti,1968
530,Fields of gold,Sting,1993
531,"You're the first, the last, my everything",Barry White,1974
532,Non non rien n’a changé,Poppys,1971
533,Passie,Clouseau,1995
534,Bird of paradise,Snowy White,1984
535,Een beetje verliefd,André Hazes,1981
536,Complainte pour Ste. Catherine,Anna & Kate McGarrigle,1976
537,It's a sin,Pet Shop Boys,1987
538,Love on the rocks,Neil Diamond,1980
539,Chan chan,Buena Vista Social Club,1997
540,Every little thing she does is magic,Police,1981
541,"Knowing me, knowing you",ABBA,1977
542,Malle Babbe,Rob de Nijs,1975
543,Perhaps love,John Denver,1981
544,Pretty woman,Roy Orbison,1964
545,You're my best friend,Queen,1976
546,You're so vain,Carly Simon,1973
547,Paloma blanca,George Baker Selection,1975
548,The girl from Ipanema,Astrud Gilberto,1964
549,It's my life,Talk Talk,1984
550,September,Earth Wind & Fire,1979
551,Telkens weer,Willeke Alberti,1975
552,What's love got to do with it,Tina Turner,1984
553,Three times a lady,Commodores,1978
